CDUID,month,year,date,background_pm25
1002,7,2020,2020-07-01,0.6185714285714285
1002,8,2020,2020-08-01,0.8742857142857143
1002,9,2020,2020-09-01,0.4542857142857143
1002,10,2020,2020-10-01,0.38571428571428573
1002,11,2020,2020-11-01,0.39571428571428574
1002,12,2020,2020-12-01,0.12714285714285714
1002,1,2021,2021-01-01,0.19142857142857145
1002,2,2021,2021-02-01,0.12714285714285714
1002,3,2021,2021-03-01,0.4885714285714286
1002,4,2021,2021-04-01,0.33142857142857146
1002,5,2021,2021-05-01,0.36142857142857143
1002,6,2021,2021-06-01,0.6671428571428571
1002,7,2021,2021-07-01,0.6071428571428572
1002,8,2021,2021-08-01,0.8585714285714285
1002,9,2021,2021-09-01,0.44857142857142857
1002,10,2021,2021-10-01,0.38142857142857145
1002,11,2021,2021-11-01,0.39142857142857146
1002,12,2021,2021-12-01,0.12428571428571429
1002,1,2022,2022-01-01,0.18714285714285717
1002,2,2022,2022-02-01,0.12571428571428572
1002,3,2022,2022-03-01,0.4828571428571429
1002,4,2022,2022-04-01,0.3271428571428572
1002,5,2022,2022-05-01,0.35714285714285715
1002,6,2022,2022-06-01,0.6557142857142857
1002,7,2022,2022-07-01,0.5957142857142858
1002,8,2022,2022-08-01,0.8428571428571429
1002,9,2022,2022-09-01,0.44285714285714284
1002,10,2022,2022-10-01,0.37714285714285717
1002,11,2022,2022-11-01,0.3871428571428572
1002,12,2022,2022-12-01,0.12142857142857143
1002,1,2023,2023-01-01,0.18285714285714288
1002,2,2023,2023-02-01,0.12428571428571429
1002,3,2023,2023-03-01,0.47714285714285715
1002,4,2023,2023-04-01,0.32285714285714284
1002,5,2023,2023-05-01,0.35285714285714287
1002,6,2023,2023-06-01,0.6442857142857142
1002,7,2023,2023-07-01,0.5842857142857143
1002,8,2023,2023-08-01,0.8271428571428572
1002,9,2023,2023-09-01,0.43714285714285717
1002,10,2023,2023-10-01,0.37285714285714283
1002,11,2023,2023-11-01,0.38285714285714284
1002,12,2023,2023-12-01,0.11857142857142858
1002,1,2024,2024-01-01,0.17857142857142858
1002,2,2024,2024-02-01,0.12285714285714286
1002,3,2024,2024-03-01,0.4714285714285714
1002,4,2024,2024-04-01,0.31857142857142856
1002,5,2024,2024-05-01,0.3485714285714286
1002,6,2024,2024-06-01,0.6328571428571428
1002,7,2024,2024-07-01,0.5728571428571428
1002,8,2024,2024-08-01,0.8114285714285714
1002,9,2024,2024-09-01,0.43142857142857144
1002,10,2024,2024-10-01,0.36857142857142855
1002,11,2024,2024-11-01,0.37857142857142856
1002,12,2024,2024-12-01,0.11571428571428571
1002,1,2025,2025-01-01,0.1742857142857143
1002,2,2025,2025-02-01,0.12142857142857143
1002,3,2025,2025-03-01,0.46571428571428575
1002,4,2025,2025-04-01,0.3142857142857143
1002,5,2025,2025-05-01,0.3442857142857143
1002,6,2025,2025-06-01,0.6214285714285714
1002,7,2025,2025-07-01,0.5614285714285715
1002,8,2025,2025-08-01,0.7957142857142857
1002,9,2025,2025-09-01,0.4257142857142857
1002,10,2025,2025-10-01,0.36428571428571427
1002,11,2025,2025-11-01,0.3742857142857143
1002,12,2025,2025-12-01,0.11285714285714286
1002,1,2026,2026-01-01,0.17
1002,2,2026,2026-02-01,0.12
1002,3,2026,2026-03-01,0.46
1002,4,2026,2026-04-01,0.31
1002,5,2026,2026-05-01,0.34
1002,6,2026,2026-06-01,0.61
1002,7,2026,2026-07-01,0.55
1002,8,2026,2026-08-01,0.78
1002,9,2026,2026-09-01,0.42
1002,10,2026,2026-10-01,0.36
1002,11,2026,2026-11-01,0.37
1002,12,2026,2026-12-01,0.11
1002,1,2027,2027-01-01,0.17
1002,2,2027,2027-02-01,0.12
1002,3,2027,2027-03-01,0.458
1002,4,2027,2027-04-01,0.31
1002,5,2027,2027-05-01,0.336
1002,6,2027,2027-06-01,0.606
1002,7,2027,2027-07-01,0.546
1002,8,2027,2027-08-01,0.776
1002,9,2027,2027-09-01,0.42
1002,10,2027,2027-10-01,0.36
1002,11,2027,2027-11-01,0.368
1002,12,2027,2027-12-01,0.108
1002,1,2028,2028-01-01,0.17
1002,2,2028,2028-02-01,0.12
1002,3,2028,2028-03-01,0.456
1002,4,2028,2028-04-01,0.31
1002,5,2028,2028-05-01,0.332
1002,6,2028,2028-06-01,0.602
1002,7,2028,2028-07-01,0.542
1002,8,2028,2028-08-01,0.772
1002,9,2028,2028-09-01,0.42
1002,10,2028,2028-10-01,0.36
1002,11,2028,2028-11-01,0.366
1002,12,2028,2028-12-01,0.106
1002,1,2029,2029-01-01,0.17
1002,2,2029,2029-02-01,0.12
1002,3,2029,2029-03-01,0.454
1002,4,2029,2029-04-01,0.31
1002,5,2029,2029-05-01,0.328
1002,6,2029,2029-06-01,0.598
1002,7,2029,2029-07-01,0.538
1002,8,2029,2029-08-01,0.768
1002,9,2029,2029-09-01,0.42
1002,10,2029,2029-10-01,0.36
1002,11,2029,2029-11-01,0.364
1002,12,2029,2029-12-01,0.10400000000000001
1002,1,2030,2030-01-01,0.17
1002,2,2030,2030-02-01,0.12
1002,3,2030,2030-03-01,0.452
1002,4,2030,2030-04-01,0.31
1002,5,2030,2030-05-01,0.324
1002,6,2030,2030-06-01,0.594
1002,7,2030,2030-07-01,0.534
1002,8,2030,2030-08-01,0.764
1002,9,2030,2030-09-01,0.42
1002,10,2030,2030-10-01,0.36
1002,11,2030,2030-11-01,0.362
1002,12,2030,2030-12-01,0.10200000000000001
1002,1,2031,2031-01-01,0.17
1002,2,2031,2031-02-01,0.12
1002,3,2031,2031-03-01,0.45
1002,4,2031,2031-04-01,0.31
1002,5,2031,2031-05-01,0.32
1002,6,2031,2031-06-01,0.59
1002,7,2031,2031-07-01,0.53
1002,8,2031,2031-08-01,0.76
1002,9,2031,2031-09-01,0.42
1002,10,2031,2031-10-01,0.36
1002,11,2031,2031-11-01,0.36
1002,12,2031,2031-12-01,0.1
1002,1,2032,2032-01-01,0.168
1002,2,2032,2032-02-01,0.118
1002,3,2032,2032-03-01,0.45
1002,4,2032,2032-04-01,0.31
1002,5,2032,2032-05-01,0.32
1002,6,2032,2032-06-01,0.59
1002,7,2032,2032-07-01,0.528
1002,8,2032,2032-08-01,0.76
1002,9,2032,2032-09-01,0.42
1002,10,2032,2032-10-01,0.36
1002,11,2032,2032-11-01,0.36
1002,12,2032,2032-12-01,0.1
1002,1,2033,2033-01-01,0.166
1002,2,2033,2033-02-01,0.11599999999999999
1002,3,2033,2033-03-01,0.45
1002,4,2033,2033-04-01,0.31
1002,5,2033,2033-05-01,0.32
1002,6,2033,2033-06-01,0.59
1002,7,2033,2033-07-01,0.526
1002,8,2033,2033-08-01,0.76
1002,9,2033,2033-09-01,0.42
1002,10,2033,2033-10-01,0.36
1002,11,2033,2033-11-01,0.36
1002,12,2033,2033-12-01,0.1
1002,1,2034,2034-01-01,0.164
1002,2,2034,2034-02-01,0.114
1002,3,2034,2034-03-01,0.45
1002,4,2034,2034-04-01,0.31
1002,5,2034,2034-05-01,0.32
1002,6,2034,2034-06-01,0.59
1002,7,2034,2034-07-01,0.524
1002,8,2034,2034-08-01,0.76
1002,9,2034,2034-09-01,0.42
1002,10,2034,2034-10-01,0.36
1002,11,2034,2034-11-01,0.36
1002,12,2034,2034-12-01,0.1
1002,1,2035,2035-01-01,0.162
1002,2,2035,2035-02-01,0.112
1002,3,2035,2035-03-01,0.45
1002,4,2035,2035-04-01,0.31
1002,5,2035,2035-05-01,0.32
1002,6,2035,2035-06-01,0.59
1002,7,2035,2035-07-01,0.522
1002,8,2035,2035-08-01,0.76
1002,9,2035,2035-09-01,0.42
1002,10,2035,2035-10-01,0.36
1002,11,2035,2035-11-01,0.36
1002,12,2035,2035-12-01,0.1
1002,1,2036,2036-01-01,0.16
1002,2,2036,2036-02-01,0.11
1002,3,2036,2036-03-01,0.45
1002,4,2036,2036-04-01,0.31
1002,5,2036,2036-05-01,0.32
1002,6,2036,2036-06-01,0.59
1002,7,2036,2036-07-01,0.52
1002,8,2036,2036-08-01,0.76
1002,9,2036,2036-09-01,0.42
1002,10,2036,2036-10-01,0.36
1002,11,2036,2036-11-01,0.36
1002,12,2036,2036-12-01,0.1
1003,1,2019,2019-01-01,0.12
1003,2,2019,2019-02-01,0.1
1003,3,2019,2019-03-01,0.36
1003,4,2019,2019-04-01,0.25
1003,5,2019,2019-05-01,0.31
1003,6,2019,2019-06-01,0.43
1003,7,2019,2019-07-01,0.58
1003,8,2019,2019-08-01,0.74
1003,9,2019,2019-09-01,0.34
1003,10,2019,2019-10-01,0.3
1003,11,2019,2019-11-01,0.24
1003,12,2019,2019-12-01,0.07
1003,1,2020,2020-01-01,0.11714285714285715
1003,2,2020,2020-02-01,0.09857142857142857
1003,3,2020,2020-03-01,0.3557142857142857
1003,4,2020,2020-04-01,0.24714285714285714
1003,5,2020,2020-05-01,0.3057142857142857
1003,6,2020,2020-06-01,0.42
1003,7,2020,2020-07-01,0.5671428571428571
1003,8,2020,2020-08-01,0.7228571428571429
1003,9,2020,2020-09-01,0.3342857142857143
1003,10,2020,2020-10-01,0.29428571428571426
1003,11,2020,2020-11-01,0.2357142857142857
1003,12,2020,2020-12-01,0.06857142857142857
1003,1,2021,2021-01-01,0.11428571428571428
1003,2,2021,2021-02-01,0.09714285714285714
1003,3,2021,2021-03-01,0.3514285714285714
1003,4,2021,2021-04-01,0.2442857142857143
1003,5,2021,2021-05-01,0.30142857142857143
1003,6,2021,2021-06-01,0.41
1003,7,2021,2021-07-01,0.5542857142857143
1003,8,2021,2021-08-01,0.7057142857142857
1003,9,2021,2021-09-01,0.32857142857142857
1003,10,2021,2021-10-01,0.2885714285714286
1003,11,2021,2021-11-01,0.23142857142857143
1003,12,2021,2021-12-01,0.06714285714285714
1003,1,2022,2022-01-01,0.11142857142857143
1003,2,2022,2022-02-01,0.09571428571428571
1003,3,2022,2022-03-01,0.34714285714285714
1003,4,2022,2022-04-01,0.24142857142857144
1003,5,2022,2022-05-01,0.29714285714285715
1003,6,2022,2022-06-01,0.39999999999999997
1003,7,2022,2022-07-01,0.5414285714285714
1003,8,2022,2022-08-01,0.6885714285714286
1003,9,2022,2022-09-01,0.32285714285714284
1003,10,2022,2022-10-01,0.28285714285714286
1003,11,2022,2022-11-01,0.22714285714285715
1003,12,2022,2022-12-01,0.06571428571428571
1003,1,2023,2023-01-01,0.10857142857142857
1003,2,2023,2023-02-01,0.09428571428571429
1003,3,2023,2023-03-01,0.34285714285714286
1003,4,2023,2023-04-01,0.23857142857142857
1003,5,2023,2023-05-01,0.29285714285714287
1003,6,2023,2023-06-01,0.39
1003,7,2023,2023-07-01,0.5285714285714286
1003,8,2023,2023-08-01,0.6714285714285715
1003,9,2023,2023-09-01,0.31714285714285717
1003,10,2023,2023-10-01,0.27714285714285714
1003,11,2023,2023-11-01,0.22285714285714286
1003,12,2023,2023-12-01,0.0642857142857143
1003,1,2024,2024-01-01,0.10571428571428572
1003,2,2024,2024-02-01,0.09285714285714286
1003,3,2024,2024-03-01,0.3385714285714286
1003,4,2024,2024-04-01,0.2357142857142857
1003,5,2024,2024-05-01,0.2885714285714286
1003,6,2024,2024-06-01,0.38
1003,7,2024,2024-07-01,0.5157142857142857
1003,8,2024,2024-08-01,0.6542857142857142
1003,9,2024,2024-09-01,0.31142857142857144
1003,10,2024,2024-10-01,0.2714285714285714
1003,11,2024,2024-11-01,0.21857142857142856
1003,12,2024,2024-12-01,0.06285714285714286
1003,1,2025,2025-01-01,0.10285714285714287
1003,2,2025,2025-02-01,0.09142857142857143
1003,3,2025,2025-03-01,0.3342857142857143
1003,4,2025,2025-04-01,0.23285714285714287
1003,5,2025,2025-05-01,0.2842857142857143
1003,6,2025,2025-06-01,0.37
1003,7,2025,2025-07-01,0.5028571428571429
1003,8,2025,2025-08-01,0.6371428571428571
1003,9,2025,2025-09-01,0.3057142857142857
1003,10,2025,2025-10-01,0.26571428571428574
1003,11,2025,2025-11-01,0.21428571428571427
1003,12,2025,2025-12-01,0.06142857142857143
1003,1,2026,2026-01-01,0.1
1003,2,2026,2026-02-01,0.09
1003,3,2026,2026-03-01,0.33
1003,4,2026,2026-04-01,0.23
1003,5,2026,2026-05-01,0.28
1003,6,2026,2026-06-01,0.36
1003,7,2026,2026-07-01,0.49
1003,8,2026,2026-08-01,0.62
1003,9,2026,2026-09-01,0.3
1003,10,2026,2026-10-01,0.26
1003,11,2026,2026-11-01,0.21
1003,12,2026,2026-12-01,0.06
1003,1,2027,2027-01-01,0.098
1003,2,2027,2027-02-01,0.09
1003,3,2027,2027-03-01,0.33
1003,4,2027,2027-04-01,0.228
1003,5,2027,2027-05-01,0.278
1003,6,2027,2027-06-01,0.356
1003,7,2027,2027-07-01,0.488
