"","HLTH_SERVICE_DLVR_AREA_NAME","year","month","date","pm25"
"270","Okanagan",2012,6,2012-06-01,5.38903187872959
"271","Okanagan",2012,7,2012-07-01,7.9669757453695
"272","Okanagan",2012,8,2012-08-01,6.6694137250374
"273","Okanagan",2012,9,2012-09-01,7.5577077836958
"274","Okanagan",2012,10,2012-10-01,6.72418073701809
"275","Okanagan",2012,11,2012-11-01,7.86824377058396
"276","Okanagan",2012,12,2012-12-01,6.09754195628462
"277","Okanagan",2013,1,2013-01-01,8.67590171284665
"278","Okanagan",2013,2,2013-02-01,7.98663801640743
"279","Okanagan",2013,3,2013-03-01,6.93863237692962
"280","Okanagan",2013,4,2013-04-01,5.68870773273041
"281","Okanagan",2013,5,2013-05-01,6.07022360545993
"282","Okanagan",2013,6,2013-06-01,5.3578288327974
"283","Okanagan",2013,7,2013-07-01,5.42078601740884
"284","Okanagan",2013,8,2013-08-01,6.93851820475476
"285","Okanagan",2013,9,2013-09-01,6.67292973527484
"286","Okanagan",2013,10,2013-10-01,7.90098358425921
"287","Okanagan",2013,11,2013-11-01,9.44879723536942
"288","Okanagan",2013,12,2013-12-01,6.31460004948529
"289","Okanagan",2014,1,2014-01-01,9.33826167510266
"290","Okanagan",2014,2,2014-02-01,8.30137257407002
"291","Okanagan",2014,3,2014-03-01,6.84300126005973
"292","Okanagan",2014,4,2014-04-01,5.75618785166198
"293","Okanagan",2014,5,2014-05-01,5.2005099743844
"294","Okanagan",2014,6,2014-06-01,4.79126305453386
"295","Okanagan",2014,7,2014-07-01,7.8282037408637
"296","Okanagan",2014,8,2014-08-01,9.91782364332263
"297","Okanagan",2014,9,2014-09-01,5.65589917537692
"298","Okanagan",2014,10,2014-10-01,7.2988279016215
"299","Okanagan",2014,11,2014-11-01,11.279520232081
"300","Okanagan",2014,12,2014-12-01,10.0561538796319
"301","Okanagan",2015,1,2015-01-01,8.76009943515115
"302","Okanagan",2015,2,2015-02-01,8.44886388869957
"303","Okanagan",2015,3,2015-03-01,8.37216866064522
"304","Okanagan",2015,4,2015-04-01,6.04685763778587
"305","Okanagan",2015,5,2015-05-01,6.44229596863209
