"","HLTH_SERVICE_DLVR_AREA_CODE","year","month","monthly_smoke","date"
"231","12",2020,3,7.69821209758351,2020-03-01
"232","12",2020,4,6.8916443830301,2020-04-01
"233","12",2020,5,5.65798780924276,2020-05-01
"234","12",2020,6,5.70762638838198,2020-06-01
"235","12",2020,7,6.27696197429021,2020-07-01
"236","12",2020,8,7.80006204961827,2020-08-01
"237","12",2020,9,15.8352139512798,2020-09-01
"238","12",2020,10,8.21326632807354,2020-10-01
"239","12",2020,11,9.01791271148383,2020-11-01
"240","12",2020,12,10.1442700988489,2020-12-01
"241","12",2021,1,9.1330525643603,2021-01-01
"242","12",2021,2,8.73987211730293,2021-02-01
"243","12",2021,3,7.69754442333806,2021-03-01
"244","12",2021,4,6.40454692352378,2021-04-01
"245","12",2021,5,5.99972158496745,2021-05-01
"246","12",2021,6,5.5397478384516,2021-06-01
"247","12",2021,7,7.5533149929101,2021-07-01
"248","12",2021,8,19.7931107064808,2021-08-01
"249","12",2021,9,10.6597056176598,2021-09-01
"250","12",2021,10,8.02646781680172,2021-10-01
"251","12",2021,11,9.29147854006471,2021-11-01
"252","12",2021,12,8.82566436631528,2021-12-01
"253","12",2022,1,9.1330525643603,2022-01-01
"254","12",2022,2,8.73987211730293,2022-02-01
"255","12",2022,3,7.69754442333806,2022-03-01
"256","12",2022,4,6.40454692352378,2022-04-01
"257","12",2022,5,5.99972158496745,2022-05-01
"258","12",2022,6,5.5397478384516,2022-06-01
"259","12",2022,7,7.5533149929101,2022-07-01
"260","12",2022,8,19.7931107064808,2022-08-01
"261","12",2022,9,10.6597056176598,2022-09-01
"262","12",2022,10,8.02646781680172,2022-10-01
"263","12",2022,11,9.29147854006471,2022-11-01
"264","12",2022,12,8.82566436631528,2022-12-01
"265","13",2012,1,7.7438141543437,2012-01-01
"266","13",2012,2,8.40846750238348,2012-02-01
"267","13",2012,3,6.27875079618118,2012-03-01
"268","13",2012,4,5.94437134769242,2012-04-01
"269","13",2012,5,5.64926910540078,2012-05-01
"270","13",2012,6,5.38903187872959,2012-06-01
"271","13",2012,7,7.9669757453695,2012-07-01
"272","13",2012,8,6.6694137250374,2012-08-01
"273","13",2012,9,7.5577077836958,2012-09-01
"274","13",2012,10,6.72418073701809,2012-10-01
"275","13",2012,11,7.86824377058396,2012-11-01
"276","13",2012,12,6.09754195628462,2012-12-01
"277","13",2013,1,8.67590171284665,2013-01-01
"278","13",2013,2,7.98663801640743,2013-02-01
"279","13",2013,3,6.93863237692962,2013-03-01
"280","13",2013,4,5.68870773273041,2013-04-01
"281","13",2013,5,6.07022360545993,2013-05-01
"282","13",2013,6,5.3578288327974,2013-06-01
"283","13",2013,7,5.42078601740884,2013-07-01
"284","13",2013,8,6.93851820475476,2013-08-01
"285","13",2013,9,6.67292973527484,2013-09-01
"286","13",2013,10,7.90098358425921,2013-10-01
"287","13",2013,11,9.44879723536942,2013-11-01
"288","13",2013,12,6.31460004948529,2013-12-01
"289","13",2014,1,9.33826167510266,2014-01-01
"290","13",2014,2,8.30137257407002,2014-02-01
"291","13",2014,3,6.84300126005973,2014-03-01
"292","13",2014,4,5.75618785166198,2014-04-01
"293","13",2014,5,5.2005099743844,2014-05-01
"294","13",2014,6,4.79126305453386,2014-06-01
"295","13",2014,7,7.8282037408637,2014-07-01
"296","13",2014,8,9.91782364332263,2014-08-01
"297","13",2014,9,5.65589917537692,2014-09-01
"298","13",2014,10,7.2988279016215,2014-10-01
"299","13",2014,11,11.279520232081,2014-11-01
"300","13",2014,12,10.0561538796319,2014-12-01
"301","13",2015,1,8.76009943515115,2015-01-01
"302","13",2015,2,8.44886388869957,2015-02-01
"303","13",2015,3,8.37216866064522,2015-03-01
"304","13",2015,4,6.04685763778587,2015-04-01
"305","13",2015,5,6.44229596863209,2015-05-01
"306","13",2015,6,6.25155307894881,2015-06-01
"307","13",2015,7,9.19738753797335,2015-07-01
"308","13",2015,8,26.8661906108533,2015-08-01
"309","13",2015,9,6.01029419700564,2015-09-01
"310","13",2015,10,7.96374275737578,2015-10-01
"311","13",2015,11,10.5202955046207,2015-11-01
"312","13",2015,12,8.59377617333495,2015-12-01
"313","13",2016,1,9.08452214396872,2016-01-01
"314","13",2016,2,8.17074934074299,2016-02-01
"315","13",2016,3,6.83604455531152,2016-03-01
"316","13",2016,4,6.54748218845811,2016-04-01
"317","13",2016,5,5.19686153938527,2016-05-01
"318","13",2016,6,5.0717536908894,2016-06-01
"319","13",2016,7,4.6935108791163,2016-07-01
"320","13",2016,8,5.80093075211604,2016-08-01
"321","13",2016,9,6.0427572167299,2016-09-01
"322","13",2016,10,7.72261052050723,2016-10-01
"323","13",2016,11,9.35435142921591,2016-11-01
"324","13",2016,12,8.48569688739336,2016-12-01
"325","13",2017,1,8.59059989678634,2017-01-01
"326","13",2017,2,8.58330268663932,2017-02-01
"327","13",2017,3,6.63073890143989,2017-03-01
"328","13",2017,4,5.57917389318123,2017-04-01
"329","13",2017,5,5.74614954069843,2017-05-01
"330","13",2017,6,5.39078237062937,2017-06-01
"331","13",2017,7,16.4674939947822,2017-07-01
"332","13",2017,8,31.5226857323976,2017-08-01
"333","13",2017,9,17.2796974187637,2017-09-01
"334","13",2017,10,8.64986054217593,2017-10-01
"335","13",2017,11,10.4057573508294,2017-11-01
"336","13",2017,12,7.76819612880518,2017-12-01
"337","13",2018,1,8.11590479456529,2018-01-01
"338","13",2018,2,8.17382942157105,2018-02-01
"339","13",2018,3,7.78765364678552,2018-03-01
"340","13",2018,4,6.32407299283358,2018-04-01
"341","13",2018,5,6.62888138823264,2018-05-01
"342","13",2018,6,5.90496065597434,2018-06-01
"343","13",2018,7,10.0709903164002,2018-07-01
"344","13",2018,8,61.098643293111,2018-08-01
"345","13",2018,9,8.78431359363594,2018-09-01
"346","13",2018,10,10.5221253708449,2018-10-01
"347","13",2018,11,10.1321014055766,2018-11-01
"348","13",2018,12,8.42323572958614,2018-12-01
"349","13",2019,1,8.5063724864368,2019-01-01
"350","13",2019,2,8.42343383047819,2019-02-01
"351","13",2019,3,8.88367377983778,2019-03-01
"352","13",2019,4,6.08629695972695,2019-04-01
"353","13",2019,5,6.69669135891926,2019-05-01
"354","13",2019,6,5.13588800121687,2019-06-01
"355","13",2019,7,6.95089986436342,2019-07-01
"356","13",2019,8,6.75057977800912,2019-08-01
"357","13",2019,9,5.69237324395734,2019-09-01
"358","13",2019,10,7.35241412001063,2019-10-01
"359","13",2019,11,10.8158197190952,2019-11-01
"360","13",2019,12,9.09342604737956,2019-12-01
"361","13",2020,1,7.86800027783101,2020-01-01
"362","13",2020,2,7.56510369036677,2020-02-01
"363","13",2020,3,7.05310020316006,2020-03-01
"364","13",2020,4,5.82971504190637,2020-04-01
"365","13",2020,5,5.60368310946265,2020-05-01
"366","13",2020,6,5.61795288796352,2020-06-01
"367","13",2020,7,6.5566749000278,2020-07-01
"368","13",2020,8,7.63631880653102,2020-08-01
"369","13",2020,9,16.5747380882847,2020-09-01
