"","HLTH_SERVICE_DLVR_AREA_NAME","month","year","date","background_pm25","wildfire_pm25","average_mo_raqdpsfw","average_mo_raqdps","factor","wildfire_pm25_scaled","total_pm25"
"18462","Kootenay Boundary",9,2036,2036-09-01,1.05,5.96556487813817,6.78175297782664,0.816188099688474,1,5.96556487813817,7.01556487813817
"18463","Kootenay Boundary",9,2036,2036-09-01,1.05,0.0207934713823201,1.17012061572292,1.1493271443406,1,0.0207934713823201,1.07079347138232
"18464","Kootenay Boundary",9,2036,2036-09-01,1.05,27.0346504275204,28.2205538543117,1.18590342679128,1,27.0346504275204,28.0846504275204
"18465","Kootenay Boundary",9,2036,2036-09-01,1.05,2.27078158532364,3.14824783662167,0.877466251298027,1,2.27078158532364,3.32078158532364
"18466","Kootenay Boundary",9,2036,2036-09-01,1.05,7.27894990623014,8.50057177936595,1.22162187313581,1,7.27894990623014,8.32894990623014
"18467","Kootenay Boundary",9,2036,2036-09-01,1.05,1.48214860887313,2.70540186915888,1.22325326028575,1,1.48214860887313,2.53214860887313
"18468","Kootenay Boundary",10,2036,2036-10-01,0.71,1.37404447195513,2.80407407701995,1.43002960506482,1,1.37404447195513,2.08404447195513
"18469","Kootenay Boundary",10,2036,2036-10-01,0.71,0.115300838008681,0.610728212141934,0.495427374133253,1,0.115300838008681,0.825300838008681
"18470","Kootenay Boundary",10,2036,2036-10-01,0.71,0.861905594077649,1.8317774662513,0.969871872173651,1,0.861905594077649,1.57190559407765
"18471","Kootenay Boundary",10,2036,2036-10-01,0.71,0.0722964038072259,0.725447263017356,0.65315085921013,1,0.0722964038072259,0.782296403807226
"18472","Kootenay Boundary",10,2036,2036-10-01,0.71,3.81360107232924,5.08186438213915,1.26826330980991,1,3.81360107232924,4.52360107232924
"18473","Kootenay Boundary",11,2036,2036-11-01,1.14,0,0.285665153538051,0.367243655244029,1,0,1.14
"18474","Kootenay Boundary",11,2036,2036-11-01,1.14,0.010303318156402,0.660368655643422,0.65006533748702,1,0.010303318156402,1.1503033181564
"18475","Kootenay Boundary",11,2036,2036-11-01,1.14,0.172946251298027,0.728257943925234,0.555311692627207,1,0.172946251298027,1.31294625129803
"18476","Kootenay Boundary",11,2036,2036-11-01,1.14,0.117199751448765,0.589829886443573,0.472630134994808,1,0.117199751448765,1.25719975144876
"18477","Kootenay Boundary",11,2036,2036-11-01,1.14,0.439193350107836,0.856408978352904,0.417215628245068,1,0.439193350107836,1.57919335010784
"18478","Kootenay Boundary",12,2036,2036-12-01,0.81,0.058036100133899,0.649646712132693,0.591610611998794,1,0.058036100133899,0.868036100133899
"18479","Kootenay Boundary",12,2036,2036-12-01,0.81,0,0.316831935673992,0.343431921414933,1,0,0.81
"18480","Kootenay Boundary",12,2036,2036-12-01,0.81,0.00674039132255,0.289665466149989,0.282925074827439,1,0.00674039132255,0.81674039132255
"18481","Kootenay Boundary",1,2023,2023-01-01,0.637142857142857,0.065998598587625,0.612939790427641,0.546941191840016,1,0.065998598587625,0.703141455730482
"18482","Kootenay Boundary",1,2023,2023-01-01,0.637142857142857,0,0.8507878894081,0.861031419670672,1,0,0.637142857142857
"18483","Kootenay Boundary",1,2023,2023-01-01,0.637142857142857,0,0.426993146417446,0.456846479750779,1,0,0.637142857142857
"18484","Kootenay Boundary",2,2023,2023-02-01,0.491428571428571,0.081385806362507,0.483599914061661,0.402214107699154,1,0.081385806362507,0.572814377791078
"18485","Kootenay Boundary",2,2023,2023-02-01,0.491428571428571,0,0.543809747764044,0.628481547489676,1,0,0.491428571428571
"18486","Kootenay Boundary",2,2023,2023-02-01,0.491428571428571,0,0.466160064315144,0.684675789942145,1,0,0.491428571428571
"18487","Kootenay Boundary",3,2023,2023-03-01,0.917142857142857,0.149271556340354,0.664428304405875,0.515156748065521,1,0.149271556340354,1.06641441348321
"18488","Kootenay Boundary",3,2023,2023-03-01,0.917142857142857,0,0.440750333778371,0.713996965129133,1,0,0.917142857142857
"18489","Kootenay Boundary",3,2023,2023-03-01,0.917142857142857,0.060364470146141,0.754374700273766,0.694010230127625,1,0.060364470146141,0.977507327288998
"18490","Kootenay Boundary",3,2023,2023-03-01,0.917142857142857,0,0.917618776550552,0.932152829698858,1,0,0.917142857142857
